[2021-03-24 11:32:38] , 64.00, 63.84, 11.60
[2021-03-24 11:32:43] , 64.00, 63.82, 11.60
[2021-03-24 11:32:48] , 64.00, 63.80, 11.60
[2021-03-24 11:32:53] , 64.00, 63.78, 11.60
[2021-03-24 11:32:58] , 64.00, 63.76, 11.60
[2021-03-24 11:33:03] , 64.00, 63.74, 11.70
[2021-03-24 11:33:08] , 64.00, 63.72, 11.70
[2021-03-24 11:33:13] , 64.00, 63.70, 11.80
[2021-03-24 11:33:18] , 63.00, 63.66, 11.90
[2021-03-24 11:33:23] , 63.00, 63.62, 11.90
[2021-03-24 11:33:28] , 63.00, 63.58, 11.90
[2021-03-24 11:33:33] , 64.00, 63.58, 12.00
[2021-03-24 11:33:38] , 65.00, 63.60, 12.00
[2021-03-24 11:33:43] , 64.00, 63.60, 12.10
[2021-03-24 11:33:48] , 63.00, 63.58, 12.10
[2021-03-24 11:33:53] , 63.00, 63.56, 12.10
[2021-03-24 11:33:58] , 62.00, 63.52, 12.10
[2021-03-24 11:34:03] , 62.00, 63.48, 12.20
[2021-03-24 11:34:08] , 62.00, 63.44, 12.20
[2021-03-24 11:34:13] , 62.00, 63.40, 12.10
[2021-03-24 11:34:18] , 62.00, 63.38, 12.20
[2021-03-24 11:34:23] , 62.00, 63.36, 12.20
[2021-03-24 11:34:28] , 62.00, 63.34, 12.20
[2021-03-24 11:34:33] , 62.00, 63.32, 12.20
[2021-03-24 11:34:38] , 62.00, 63.32, 12.10
[2021-03-24 11:34:43] , 62.00, 63.32, 12.10
[2021-03-24 11:34:48] , 62.00, 63.32, 12.10
[2021-03-24 11:34:53] , 62.00, 63.32, 12.10
[2021-03-24 11:34:58] , 62.00, 63.32, 12.10
[2021-03-24 11:35:03] , 62.00, 63.30, 12.10
[2021-03-24 11:35:08] , 62.00, 63.28, 12.10
[2021-03-24 11:35:13] , 62.00, 63.26, 12.10
[2021-03-24 11:35:18] , 62.00, 63.24, 12.10
[2021-03-24 11:35:23] , 61.00, 63.20, 12.20
[2021-03-24 11:35:28] , 62.00, 63.16, 12.10
[2021-03-24 11:35:33] , 62.00, 63.12, 12.10
[2021-03-24 11:35:38] , 62.00, 63.08, 12.10
[2021-03-24 11:35:43] , 62.00, 63.04, 12.10
[2021-03-24 11:35:48] , 62.00, 63.00, 12.00
[2021-03-24 11:35:53] , 62.00, 62.96, 12.10
[2021-03-24 11:35:58] , 63.00, 62.94, 12.00
[2021-03-24 11:36:03] , 63.00, 62.90, 12.10
[2021-03-24 11:36:08] , 63.00, 62.88, 12.10
[2021-03-24 11:36:13] , 62.00, 62.84, 12.00
[2021-03-24 11:36:18] , 62.00, 62.80, 12.10
[2021-03-24 11:36:23] , 62.00, 62.76, 12.10
[2021-03-24 11:36:28] , 62.00, 62.72, 12.10
[2021-03-24 11:36:33] , 62.00, 62.68, 12.10
[2021-03-24 11:36:38] , 62.00, 62.64, 12.10
[2021-03-24 11:36:43] , 62.00, 62.60, 12.10
[2021-03-24 11:36:48] , 62.00, 62.56, 12.10
[2021-03-24 11:36:53] , 62.00, 62.52, 12.10
[2021-03-24 11:36:58] , 62.00, 62.48, 12.10
[2021-03-24 11:37:03] , 62.00, 62.44, 12.10
[2021-03-24 11:37:08] , 62.00, 62.40, 12.10
[2021-03-24 11:37:13] , 62.00, 62.36, 12.00
[2021-03-24 11:37:18] , 62.00, 62.32, 12.00
