16:34:54,39.20, 38.73, 23.20,0, 1019, 94
16:34:59,39.20, 38.75, 23.20,0, 1458, 161
16:35:04,39.40, 38.78, 23.20,0, 627, 34
16:35:09,39.20, 38.81, 23.20,0, 599, 30
16:35:14,38.90, 38.83, 23.20,0, 400, 0
16:35:19,38.50, 38.84, 23.20,0, 459, 8
16:35:24,38.30, 38.84, 23.10,0, 481, 12
16:35:29,38.40, 38.84, 23.10,0, 551, 23
16:35:34,38.70, 38.85, 23.10,0, 556, 23
16:35:39,38.90, 38.86, 23.10,0, 977, 87
16:35:44,39.00, 38.87, 23.10,0, 749, 53
16:35:49,39.10, 38.88, 23.10,0, 715, 47
16:35:54,39.20, 38.89, 23.10,0, 588, 28
16:35:59,39.00, 38.89, 23.10,0, 785, 58
16:36:04,38.90, 38.89, 23.20,0, 588, 28
16:36:09,39.00, 38.90, 23.10,0, 863, 70
16:36:14,39.20, 38.90, 23.20,0, 624, 34
16:36:19,39.30, 38.91, 23.20,0, 517, 17
16:36:24,39.20, 38.92, 23.20,0, 493, 14
16:36:29,39.00, 38.92, 23.20,0, 448, 7
16:36:34,38.70, 38.92, 23.20,0, 546, 22
16:36:39,38.70, 38.92, 23.20,0, 959, 85
16:36:44,39.00, 38.94, 23.20,0, 594, 29
